title,rating,review,date
Great app!!!!!,5,Love this app. Shoes are at reasonable prices compared to eBay sellers and flightclub. You're guaranteed 100% authentic shoes. I love that the shoes have a verification process. It's good to know that you're spending money on something legit and don't have to worry about being scammed. One of the best apps out. I will definitely be recommending this to my friends and family!,2017-08-29T03:21:16Z
I love GOAT but,1,But delivery should be free.,2017-08-28T22:59:11Z
I can't register!!!!!,1,I have been trying for the past 72 hours to register for an account on this app. Every attempt has been successful!!!,2017-08-28T15:46:46Z
Add a price range,4,Great website the only thing that I dislike is that the filter had no option to choose your price range other then that it's amazing,2017-08-28T07:33:56Z
awful,1,"i decided to buy a pair of the zebra yeezys that were ""brand new"" they ended up being scuffed up and when i tried to contact GOAT about this they tried to tell me that i was lying and get me to spend MORE money..that's $600 out the drain...",2017-08-27T22:24:22Z
GOAT,4,Goat is a great app for shoes just wish it had a wishlist,2017-08-27T15:03:01Z
Good BUT..,3,Don't get me wrong this is a great app to but does off of IF you don't mind waiting. Since it basically has to go 2 different places (seller ships it to goat then goat ships it to you) it take forever to deliver. You also have to pay for shipping which is ridiculous. Mine took a solid 2 words to get deliver and that's why it only gets 3 stars,2017-08-27T07:31:16Z
A Suggestion,5,"Could you possibly add a option to add/see photos of the REAL shoe they are giving you, just for self Authentication? Beside that, the app seems promising _Ÿ‘ç",2017-08-27T04:03:28Z
The shoes,4,Are the shoes USED or brand new?,2017-08-26T21:39:16Z
App gives me orgys,5,I love this app its the goat.= (THE GREATEST OF ALL TIME),2017-08-26T19:56:34Z
THE TRUE GOAT _Ÿêê,5,Love this app!! They always have what I'm looking for and I never have to doubt the authenticity of what I'm buying. Never getting another fake pair of shoes again _Ÿ™è_Ÿè»,2017-08-24T00:40:38Z
Worlwide shipping,4,You guys should ship to Bolivia-South America _Ÿ”¥,2017-08-23T22:44:31Z
"Terrible. Good prices, terrible wait time and delivery. Never got the shoes.",1,"Waited about two weeks and finally decided to ask customer support where my shoes were to find out that they were ""missing"". They even had the nerve to ask me if i wanted goat credit just to wait another two weeks. Terrible app.",2017-08-23T20:37:34Z
Soso _Ÿ˜ê,3,The shoes are real but just take forever to shipped && took me 4 week to get here. Also make sure y'all pay with paypal cause easier that way!..,2017-08-23T20:34:50Z
They were indeed fake,1,"After very careful inspection of my yeezy 350 v2 zebras they were fake, which is understandable a few shoes will get by here and there.  The one thing that screwed me over was their customer support.  I contacted them saying I had requested a return on the shoes to get my money back, but I had never gotten an email about this.  I contacted customer support about this problem as to find out they copy and paste their FAQ and marked the help ticket as completed.  Lost $630 to customer support",2017-08-23T04:22:12Z
Pretty good ....,3,"I want to sell my shoes and every time I request to sell, I never get an email from GOAT ... makes no sense? GOAT also needs an option so that sellers and buyers can communicate regarding estimated delivery time and negotiations.Aside from that, the app is easy to navigate and okay.",2017-08-23T02:31:28Z
This app is really the G O A T,5,I've bought and sold on here and it's a seamless process every single time. I don't even remember a time before GOAT or at least I don't  want to.,2017-08-22T01:33:28Z
yeezyï_Å,5,great conditionï_Ålove itï_Å,2017-08-22T00:23:30Z
"Good prices, bad wait time",3,"The shoes are good they have pretty much every Jordan available at a fair price the only bad thing is the shipping and delivery time first of all it should be free shipping considering it takes forever to get here  I will say that the verification process is nice it pretty much makes it so you don't get any fake shoes but the amount of time it takes is pretty absurd to be charged for it. When you buy the shoes the actual seller has to verify that you bought it(took a whole day for that stage) then he has to ship it to ""goat"" it's been 6 days for me and it's still at that stage after wards when goat receives the shoe they make sure it's not fake then they deliver it to you. Again way to long of a process to be charged for it I understand charging people out of country(US) but for people inside its kind of bs if shipping was free it would be a solid 5 stars",2017-08-21T08:03:21Z
Awesome,5,Awesome! Could you also add widgets for quick looking on shoes it recommends me? That would be a nice addition!,2017-08-20T23:23:31Z
Needs debit card payment,3,I found quite a few shoes I like but I only have a debit card and it only has credit card or PayPal so please add debit card options.,2017-08-20T11:10:26Z
Really good,5,This app is awesome. So clean and easy to use. I've already gotten 3 pairs. Keep it up GOAT!,2017-08-19T02:25:09Z
Sadly,1,"This app gave me fake shoes and they were ""authenticated"" don't order from her",2017-08-19T01:53:59Z
Terrible,1,It's been about a month after I submitted sellers request. Terrible app- do not buy from them.,2017-08-19T00:18:16Z
Great,4,Great app and even faze adapt says it,2017-08-18T22:51:04Z
Disappointed,1,"I ordered a less expensive pair of shoes (still $160) trying the app out and everything went good. So I ordered an expensive pair ($300)and received them and the box was damaged. I choose to pay extra to get the box because they offer the shoe without or with a ""damaged box"" for less. So I contacted customer services and I was told that the best they can do is give me a ten dollar credit on my next buy. If that was the case I could have paid less for a pair that said ""damage box"" and saved a lot more than $10 I have spent almost $500 with them and they can not even take care of something that it says it covers. Makes me wonder if they are really authenticating the shoes and box like they claim or if so why my damaged box would pass their quality control check.",2017-08-18T21:10:47Z
Great,5,Idk how it only has 11 reviews but issa great app,2017-08-18T18:23:44Z
Fake,1,This app has fake shoes,2017-08-18T13:56:26Z
GOAT Cheats SELLERS,1,"Let's just say, on 3 occasions GOAT claimed items were missing (plastic cover for Jordan 11's)  or the shoes had marks or damages. GOAT will email you Asking to offer the buyer a discount because of the ""damage"" yet I believe they are trying to ft more money from sellers.The first time there was a ""black mark"" on a pair of brand new Jordan 1's which I only took out the box to upload photos. It looked like someone rubbed their finger in thick dust and wiped on the shoe. Given I am a neat freak, I KNOW I DIDN'T do it! I gave goat the benefit of the doubt and offered a 10% discount. The next time when my Jordan 11's sold, I purposely recorded my self (surveillance cameras in my office) unpacking and repacking the shoes jic GOAT tried to pull a fast one. Glad I did because I sure got an email asking to discount for the. Just due to a ""missing plastic lid.""  I quickly replied and told them to look again given I recorded every moment from the shoes being removed from the box, inspected, boxed up and picked up by UPS. No discount offered. Minutes later the ""buyer accepted.""GOAT works if you want to sell your shoesJust cya and document EVERYTHING. They will NICKLE AND DIME you every chance they get especially if it's a high demand sneaker!",2017-08-18T12:53:23Z
This app sells legitimate shoes,5,Love it you can buy shoes with confidence that you are getting what you paid for,2017-08-18T09:55:43Z
It's pretty good.._Ÿ™ƒ,5,So I bought ultra boost and they came in good shape lol obviously they were new,2017-08-18T04:37:46Z
You can't sell on it,1,I've tried to talk to support waited 6 months yet didn't get verified,2017-08-17T23:55:47Z
Hey thats pretty good.,5,Hey this apps pretty good.,2017-08-17T20:55:54Z
AWESOME APP BUT PLEASE......,5,"FIX THE FEATURE THAT ALLOWS YOU TO VIEW USED SNEAKERS. I CAN ONLY VIEW NEW SNEAKERS ON THE APP. PLEASE FIX ASAPâù—ï¸èâù—ï¸èâù—ï¸èGOAT IS THE GOAT FORREALâù—ï¸è",2017-08-17T18:05:47Z
Best sneaker purchasing app ever!,5,Love this company and have never had any complaints!,2017-08-17T16:25:51Z
The best app in the world,5,Best app,2017-08-17T15:51:15Z
Moan,5,Noise,2017-08-17T07:36:44Z
Nice job. All the used inventory disappeared,1,Yesterday loads of 350 v1 and v2 used. Today totally out of stock. Bape NMD out of stock. Guess everything sold out yesterday.,2017-08-17T04:54:29Z
They claim 7-10 business days to receive your shoes,1,But that's a lie. It's more like 11-16. Severely disappointed in their misleading marketing. Buyers beware.,2017-08-17T02:10:38Z
Service,1,I bought 2 new shoes from goat...never wore the shoes. Attempted to sell the shoes through goat. They tell me the shoes are used? I will never buy another pair of shoes from goat...they are scam artist,2017-08-16T23:55:29Z
No more used?,1,Just updated to the latest version and I can't find any used shoes!,2017-08-16T21:21:51Z
"Doesn't allow me to view ""used shoes"".",1,"Goat doesn't allow me to view any ""used shoes"". It says that every shoe is out of stock and that you can only buy new pairs of shoes. Please fix this soon before you lose a customer.",2017-08-16T20:16:19Z
GOOOOAAAATTT,5,"Oh man, this app is awesome, 100% recommended for cheaper shoes",2017-08-16T17:53:13Z
Problem,1,All used shoes show out of stock,2017-08-16T17:42:48Z
Great,5,Great sneaker app,2017-08-16T13:14:04Z
Amazing,5,An amazing app easy to get around and to get information on shoes in your size.,2017-08-16T11:20:18Z
LIMITED SHOES FOR CHEAP,5,Compared to Flight Club. This app hands down. Shoutout Apex,2017-08-16T06:49:08Z
Amazing! Very impressed.,4,"This is a very secure way to buy and sell sneakers. I am in the process of registering to sell and I have already bought a pair. There are always great deals and the app is very secure. They do not give out your personal information and they have a top-level verification system to make sure you are never buying fake sneakers. You can't ask the seller questions, something they could improve on, and the app is occasionally buggy on older devices like my 5s. I highly recommend this app, and I hope it will continue to improve.",2017-08-16T04:50:37Z
GOAT,5,GOAT IS GOAT,2017-08-16T04:04:31Z
Gr8,5,It's a gr8 app,2017-08-15T23:01:34Z
Great,5,Haven't seen a single problem yet,2017-08-15T14:47:18Z
This app is amazing,5,This app is super simple and have really good prices on shoes. Also they authentication process is really fast only takes like one or two days. Glad I found this app_Ÿ˜›_Ÿ˜›_Ÿ˜›_Ÿ˜ç,2017-08-15T06:58:18Z
Legit,5,This is the best app out there for buying and selling shoes,2017-08-15T02:30:16Z
Don't be fooled,1,They seem like they are cheaper than StockX but they charge you 2.9% to send your money to PayPal on top of a 9.5% fee and 5.00 and they are slow to do everything. I won't be using this app anymore.,2017-08-15T02:23:44Z
Very good,5,Amazing great prices,2017-08-15T00:05:10Z
Dope!!!! 5 stars,5,"The best shoe app. out right now, got every shoe that I need.. I've order 3 shoes from GOAT... perfect name.. lol all shoes was new and correct..",2017-08-14T19:27:03Z
I need help with finishing my purchase!!!,4,"when i click to buy now it said my payment info is not valid and i used Paypal, i can buy many things with my paypal but cannot finish the purchase on GOAT.. Pls help!!",2017-08-14T15:27:10Z
Hero,5,This app is what I've been waiting for finally they are cracking down on the fakes.,2017-08-13T15:17:49Z
"Very Useful app,but kinda expensive :(",3,"It's a great and app and all I would defendly recommend this app,but the shoes I want are kinda overpriced!",2017-08-12T16:33:20Z
Great App,5,This app is amazing it has great prices and a wide variety of shoes from all budget ranges,2017-08-12T15:33:12Z
Need Some Work,3,"The app is great, but you should support sending to FPO boxes. I'm in the military stationed in Europe and I have to send shoes back home then have them sent to me, needless to say the process is too long and I'd very much appreciate it if we could skip the middle man.",2017-08-12T08:04:05Z
Legit _Ÿ˜Å_Ÿ˜Å,5,Bought 3 pairs of shoes here,2017-08-12T02:09:48Z
Pretty good,5,I haven't received my shoes yet but for the most part this website is easy to use and really good shoes.,2017-08-11T18:50:10Z
Best ever for sneaker heads,5,I love buying shoes from here always real and it's worth it guaranteed any sneaker,2017-08-11T03:23:12Z
Great app,5,100/10,2017-08-11T00:18:53Z
Love This,5,GOAT is pretty dope. It's easy to search for what shoe you want and easy to buy. Impossible to get scammed. Only thing I don't like is that they don't have all the color ways for shoes but they always add more,2017-08-10T21:30:59Z
No reply,1,I submitted a request to sell my shoes but they haven't replied yet. It's been 3 weeks.,2017-08-10T20:56:15Z
Good app,5,Great app to get authentic kicks,2017-08-10T16:17:34Z
Very secure and sneakers are legit _Ÿ’¯,5,You don't need to worry about being scammed,2017-08-10T15:57:40Z
Works exactly as advertised,5,"Ordered myself some Yeezy Powerphases, got shipping updates frequently, and got my shoes a day ahead of schedule. Stock X had a better price at the time but for some reason I've been permanently banned from Stock X even though all I did was try to buy shoes. Thank you, GOAT, for actually allowing me to give you money. Anyway, great app, clean interface, very user friendly, and works as advertised. Great sneaker buying guide experience and would definitely use GOAT again.",2017-08-10T08:14:50Z
Goat app,5,I love this app,2017-08-10T06:10:10Z
Great app,5,This the best after market shoe community and great app!!,2017-08-10T02:57:35Z
Great,5,Really great,2017-08-09T23:17:36Z
Good,5,It's a very good app,2017-08-09T21:59:28Z
Great for beginner sneaker heads,5,Great app for beginner sneaker head because of great low prices and the option to buy sneakers used. Awesome for starting your collection_Ÿ‘ç_Ÿè»,2017-08-09T20:52:02Z
So far everything is great!,5,"Great app, dependable & very up to date with trends.",2017-08-09T18:57:39Z
Great sneaker app,5,My favorite place to buy sneakers because always legit and at a fair price,2017-08-09T18:53:55Z
Perfect,5,"First time using this app and from my experience it was really good. But there was only one problem. The price changes from what is showed. When you click on the shoe of your choice and click buy, it shows way different price or more expensive price. Other than that the app is perfect.",2017-08-09T17:59:17Z
Love it!,5,Addicting!,2017-08-09T17:28:04Z
My favorite sneaker app,5,This is is out here killing the game. They are 100% legit and when you buy off of here you know you are getting authentic sneakers. Would recommend 100%!,2017-08-09T16:45:39Z
My go to sneaker app,5,"I love GOAT! They've hooked me up with so many grails that I have wanted over the years. Affirm is a great way of making payments for me considering that I do have the money to pay it off, helps credit, & I am a impulsive buyer! So many new & used kicks for sometimes steal prices, can't complain at all! Great way to go & I support 100%.",2017-08-09T03:41:42Z
Litt_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥,5,This app is crazy cool I wish they had more like this,2017-08-08T23:41:18Z
Like it so far,5,I just downloaded the app and so far I'm loving the prices,2017-08-08T20:44:54Z
Everyone Else Is Competing for 2nd Place...,5,"8/8/17 Update: This app has become its namesake. It really IS the ""GOAT"". I've run into issues at times...anywhere from cc fraud, to lost packages, to items arriving damaged.... and their customer service is THE BEST! Being able to start an ""in-app"" message to contact a customer rep if there's a problem or even if I have a question needing answered, and being notified through a pop-up notification that there's a response...is terrific! I couldn't ask for better service, really. (Unlike a competitor's app, where you can only contact them through email and they sometimes respond, or will respond and then drop off the face of the earth and you not hear from them again without them leaving their customer's satisfied). I've experienced the same or similar issues with other apps, and they just can't and don't compare to the service with GOAT. Sorry, but everyone else is competing for 2nd place. The ONLY thing I can nitpick with this time around is with ""Last Prices Sold"". Its given for each shoe size. Every sneaker buyer and seller knows that nearly every size shoe sells at a price different from the next size shoe. I'd like to know more specifics about not only the last prices sold, but the prices for which specific shoe sizes as well. It'd be more helpful for both sellers and buyers. Anyway, I'd just like to commend the GOAT APP team! We users all appreciate the hard work that goes into creating and maintaining the app as well as the behind the scenes efforts. And please...PLEASE continue to keep shipping at $10! Lol Keep up the great work!",2017-08-08T20:27:48Z
Extraordinary,5,Great App will have use more in the future,2017-08-08T19:45:17Z
Best sneaker app ever,5,This app is so good for sneaker heads and it's just a really good app and I love it,2017-08-08T14:46:50Z
Amazing,5,"I was contemplating buying some shoes off of GOAT for a long time. I never really knew that much about the app. Once I got my shoes and found out that they went through a verification process, I would recommend this app to anyone 10/10.",2017-08-08T13:18:01Z
Bored,5,"I'm shitting and I'm bored so I have nothing else to do... so yeah...... Anyway, I had tacos for dinner so you can only imagine. _Ÿ˜‚",2017-08-08T04:47:14Z
"""Oops try again""",3,Every time I try to use the app this comes up,2017-08-08T04:15:14Z
Real goat,5,If any one gives a 1 star rating they are just lairs.The real truth is that goat is the best app for selling high quality sneakers.Never worry about scam they make sure they verify and authenticate anything you buy before they ship.Plus they also give a card showing it is verified as a proof,2017-08-07T20:07:06Z
